scenario,description,one_time_investment_usd,mean_cycle_hours,median_cycle_hours,p90_cycle_hours,sla_adherence,manual_hours_per_case,throughput_cases_per_8h,cycle_time_reduction_pct,sla_adherence_uplift_pp,manual_hours_saved_per_case,estimated_annual_value_usd,first_year_roi
Baseline,"Observed staffing, manual approval, and invoice rework assumptions.",0.0,206.60485365857525,191.31206570280347,313.4451382216751,0.6400462962962963,7.209916840163028,8.411226329788958,0.0,0.0,0.0,0.0,0.0
Approval Automation,Rules-based low-risk approvals and faster purchase-order preparation.,95000.0,200.1196977884623,185.34608486187324,303.7879198251182,0.6632870370370371,6.278753470205561,8.59685374514483,0.03138917481982295,2.3240740740740784,0.9311633699574671,539528.384697785,4.6792461547135265
AP Capacity,Two additional invoice-match seats and one treasury seat.,150000.0,203.0352200933709,187.19450092655293,309.15405477697635,0.652175925925926,7.1319467428532635,8.41159971066841,0.017277588120477305,1.2129629629629712,0.07797009730976434,185272.36992843953,0.23514913285626352
Combined Optimization,"Approval automation, AP capacity, and supplier lead-time intervention.",225000.0,166.4844854670217,153.4452225419892,253.56694963443496,0.7763888888888889,5.823089272162133,9.61680654886594,0.1941888947965107,13.634259259259263,1.3868275680008946,2213037.020799549,8.83572009244244
